player,position,a,a_g,bks,eng,es_toi,es_toi_g,esa,esfol,esfow,esg,esp,first_g,fo_perc,fo_total,fol,fow,g,g_g,g_misc,gp,gva,gwg,hits,major,match_pen,minor,misc,mss,otg,p,p_g,pim,plus_minus,pp_toi,pp_toi_g,ppa,ppfol,ppfow,ppg,ppp,ps,s_g,sft_g,sh_toi,sh_toi_g,sha,shfol,shfow,shg,shifts,shot_perc,shots,shp,tka,toi,toi_g,toi_s,total_so_g,total_so_gdg,total_so_s,gs,w,l,ot,sa,ga,gaa,sv,sv_perc,so
"Charlie Coyle",RW,6,0.162,9,0,495,13.378,6,0,0,7,13,0,0.346,26,17,9,8,0.216,0,37,9,2,50,2,1,4,0,19,0,14,0.378,28,3,19,0.514,0,0,0,1,1,0,1.351,20.595,4,0.108,0,0,0,0,762,0.16,50,0,14,557.31,15.062,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chris Bourque",LW,3,0.167,7,0,172,9.556,0,0,0,1,1,0,0,1,1,0,1,0.056,0,18,4,1,25,0,0,3,0,11,0,4,0.222,6,-6,28,1.556,3,0,0,0,3,0,1.333,16.333,0,0,0,0,0,0,294,0.042,24,0,6,217.38,12.026,0.74,0,0,2,0,0,0,0,0,0,0,0,0,0
"Chris Brown",C,0,0,0,0,28,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,1,0,3,0,0,0,2,0,5,1,0,0,0,0,0,0,1.2,9.2,0,0,0,0,0,0,46,0,6,0,1,38.18,7.44,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chris Butler",D,7,0.159,74,0,644,14.636,7,0,0,0,7,0,0,0,0,0,1,0.023,0,44,21,0,53,1,0,7,0,13,0,8,0.182,19,-10,0,0,0,0,0,0,0,0,0.909,22.568,68,1.545,0,0,0,1,993,0.025,40,1,8,749.66,17.017,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chris Conner",RW,1,0.083,5,0,128,10.667,1,0,0,1,2,0,0,2,2,0,1,0.083,0,12,0,0,15,0,0,1,0,6,0,2,0.167,2,3,2,0.167,0,0,0,0,0,0,1.25,15.667,0,0,0,0,0,0,188,0.067,15,0,7,136.49,11.353,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chris Higgins",LW,5,0.122,22,2,539,13.146,5,0,0,10,15,0,0.363,91,58,33,10,0.244,0,41,12,1,46,0,0,5,0,30,0,15,0.366,10,-4,24,0.585,0,0,0,0,0,0,1.878,23.024,61,1.488,0,0,0,0,944,0.13,77,0,36,673.06,16.402,0.71,2,0,3,0,0,0,0,0,0,0,0,0,0
"Chris Kelly",C,6,0.182,18,0,401,12.152,6,0,0,2,8,0,0.582,368,154,214,3,0.091,0,33,8,0,41,0,0,8,0,14,0,9,0.273,16,-7,1,0.03,0,0,0,1,1,0,1.212,21.667,59,1.788,0,0,0,0,715,0.075,40,0,18,496.92,15.05,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chris Kreider",RW,1,0.043,6,0,207,9,1,0,0,2,3,0,0,1,1,0,2,0.087,0,23,3,0,36,0,0,3,0,9,0,3,0.13,6,-1,9,0.391,0,0,0,0,0,0,0.826,13.522,0,0,0,0,0,0,311,0.105,19,0,2,232.56,10.108,0.75,0,0,1,0,0,0,0,0,0,0,0,0,0
"Chris Kunitz",LW,30,0.625,13,1,648,13.5,23,0,0,13,36,0,0.444,9,5,4,22,0.458,1,48,17,5,104,1,0,12,0,43,0,52,1.083,39,30,161,3.354,7,0,0,9,16,0,2.354,20.354,3,0.063,0,0,0,0,977,0.195,113,0,13,865.07,18.003,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chris Mason",G,0,0,0,0,381,31.75,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,0,0,0,0,0,0,0,0,0,0,0,0,39,3.25,0,0,0,0,0,0,0,0,35,2.917,0,0,0,0,0,0,0,0,0,466.73,38.883,0,0,0,0,6,1,7,1,229,29,3.73,200,0.873,0
"Chris Mueller",C,3,0.167,15,0,178,9.889,3,0,0,2,5,0,0.497,185,93,92,2,0.111,0,18,1,1,14,0,0,3,0,7,0,5,0.278,6,-4,0,0,0,0,0,0,0,0,1.222,17.333,2,0.111,0,0,0,0,312,0.091,22,0,5,192.73,10.656,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chris Neil",RW,8,0.17,10,0,557,11.851,5,0,0,4,9,0,0.5,6,3,3,4,0.085,1,47,9,3,202,5,0,27,5,22,0,12,0.255,139,0,52,1.106,3,0,0,0,3,0,1.83,19.638,0,0,0,0,0,0,923,0.047,86,0,13,652.71,13.876,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chris Phillips",D,9,0.191,78,0,761,16.191,9,0,0,4,13,0,0,0,0,0,5,0.106,0,47,20,0,92,1,0,14,1,28,0,14,0.298,43,-5,52,1.106,0,0,0,1,1,0,1.894,28.043,126,2.681,0,0,0,0,1318,0.056,89,0,9,1006.22,21.397,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chris Porter",LW,6,0.207,5,0,295,10.172,6,0,0,2,8,0,0.431,58,33,25,2,0.069,0,29,2,2,65,0,0,0,0,10,0,8,0.276,0,5,1,0.034,0,0,0,0,0,0,1.586,18.655,15,0.517,0,0,0,0,541,0.043,46,0,5,337.45,11.629,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chris Stewart",RW,18,0.375,13,1,623,12.979,12,0,0,12,24,0,0.296,27,19,8,18,0.375,0,48,11,3,41,4,0,10,0,36,0,36,0.75,40,0,89,1.854,6,0,0,6,12,0,2.021,23.042,0,0,0,0,0,0,1106,0.186,97,0,13,759.32,15.805,0.69,2,0,3,0,0,0,0,0,0,0,0,0,0
"Chris Summers",D,0,0,10,0,60,10,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,12,1,0,2,0,1,0,0,0,9,-3,0,0,0,0,0,0,0,0,0.833,18.667,9,1.5,0,0,0,0,112,0,5,0,1,75.93,12.577,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chris Terry",LW,0,0,1,0,27,9,0,0,0,1,1,0,0,1,0,1,1,0.333,0,3,0,1,1,0,0,0,0,1,0,1,0.333,0,0,0,0,0,0,0,0,0,0,0.333,13,0,0,0,0,0,0,39,1,1,0,2,28.81,9.41,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0
